,episodes,sfw,start_year,episode_duration,total_duration,synopsis_char_count,title_char_count,start_date_day_of_year,end_date_day_of_year,broadcast_time,is_Action,is_Adventure,is_Drama,is_Fantasy,is_Sci-Fi,is_Suspense,is_Supernatural,is_Award Winning,is_Romance,is_Comedy,is_Sports,is_Slice of Life,is_Mystery,is_Avant Garde,is_Horror,is_Ecchi,is_Gourmet,is_Boys Love,is_Girls Love,is_Hentai,is_Erotica,is_Shounen,is_Seinen,is_Shoujo,is_Josei,is_Kids,score
50,201.0,1,2006.0,1494.0,300294.0,1048,7,94.0,84.0,1080.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.95
51,11.0,1,2011.0,1370.0,15070.0,812,56,105.0,175.0,75.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33
53,12.0,1,2021.0,1427.0,17124.0,817,47,277.0,354.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.73
54,22.0,1,2012.0,1380.0,30360.0,1014,11,286.0,81.0,45.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35
55,12.0,1,2011.0,1449.0,17388.0,713,26,7.0,112.0,85.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36
56,120.0,1,2016.0,330.0,39600.0,939,20,186.0,361.0,425.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.43
57,43.0,1,1999.0,1550.0,66650.0,1332,21,181.0,261.0,1170.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.69
58,15.0,1,2009.0,1508.0,22620.0,935,14,184.0,176.0,1380.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34
59,25.0,1,2016.0,1530.0,38250.0,1052,37,95.0,263.0,65.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25
61,500.0,1,2007.0,1389.0,694500.0,805,18,46.0,82.0,1170.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.24
62,24.0,1,2019.0,1440.0,34560.0,1037,9,186.0,347.0,1320.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.29
63,11.0,1,2021.0,1420.0,15620.0,943,40,11.0,81.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.37
64,13.0,1,2018.0,1440.0,18720.0,1030,56,277.0,361.0,140.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27
65,10.0,1,2017.0,1380.0,13800.0,1199,40,12.0,75.0,65.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28
66,26.0,1,2013.0,1539.0,40014.0,965,32,188.0,363.0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77
67,13.0,1,2020.0,1620.0,21060.0,968,48,190.0,274.0,1350.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37
68,12.0,1,2020.0,1436.0,17232.0,1026,27,277.0,354.0,145.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.54
69,74.0,1,2004.0,1440.0,106560.0,1389,7,98.0,271.0,40.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.84
70,13.0,1,2011.0,1680.0,21840.0,1106,9,275.0,359.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29
71,12.0,1,2021.0,1710.0,20520.0,677,55,6.0,83.0,1350.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48
73,13.0,1,2022.0,1439.0,18707.0,946,42,99.0,176.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.14
74,23.0,1,2018.0,1420.0,32660.0,1351,13,102.0,270.0,95.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52
75,13.0,1,2020.0,1440.0,18720.0,1171,20,11.0,95.0,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.36
76,12.0,1,2021.0,1422.0,17064.0,874,41,12.0,89.0,1380.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
